Feature,Importance
URLSimilarityIndex,0.19749220784533308
NoOfExternalRef,0.16564541522374487
LineOfCode,0.13135292212088576
NoOfImage,0.11245139906246927
NoOfSelfRef,0.08694626848765104
NoOfJS,0.07542699027673347
HasSocialNet,0.03287091303694277
NoOfCSS,0.030885748360115078
NoOfOtherSpecialCharsInURL,0.023213199337213313
HasDescription,0.023069957340796827
HasCopyrightInfo,0.02245834396595324
IsHTTPS,0.01577857627507957
LargestLineLength,0.013439252863392813
NoOfDegitsInURL,0.009834986140450539
URLLength,0.007062410949187549
NoOfLettersInURL,0.006655374379855451
DegitRatioInURL,0.0060009275591407975
NoOfEmptyRef,0.005181307007612123
HasSubmitButton,0.005092744481974851
DomainTitleMatchScore,0.004964070287272406
IsResponsive,0.004622416621170867
LetterRatioInURL,0.004074285997005783
NoOfiFrame,0.0028978351833480716
URLTitleMatchScore,0.0026268778597247685
NoOfSubDomain,0.0022934681116925453
SpacialCharRatioInURL,0.0022579923371670017
URLCharProb,0.0015435143808532766
HasFavicon,0.0012044063662348995
DomainLength,0.0007921939265961175
CharContinuationRate,0.0005911292151553589
TLDLegitimateProb,0.0002809969263648778
NoOfQMarkInURL,0.0002766330272196332
HasHiddenFields,0.00019259106886576117
TLDLength,8.024722647316053e-05
HasPasswordField,7.989056230300537e-05
NoOfEqualsInURL,7.955801046748152e-05
HasTitle,7.760765232261719e-05
Bank,5.752285395366789e-05
Pay,4.578333768937837e-05
Robots,4.233877018442398e-05
NoOfPopup,3.077882955155202e-05
NoOfURLRedirect,1.2967969438332896e-05
Crypto,7.64693230030097e-06
HasExternalFormSubmit,5.1294181260677206e-06
NoOfSelfRedirect,1.2038211479941668e-06
HasObfuscation,7.449890441499981e-07
IsDomainIP,6.696346345330317e-07
ObfuscationRatio,5.395345374978191e-07
NoOfAmpersandInURL,1.4434622064668525e-08
NoOfObfuscatedChar,0.0
